ResSecond,EffortFiscInd,EffortFisc,ReFiscHab,DGF,CodeINSEECom,NomCom,PopDGF,PopINSEE,AGE65,Sup,PotFisc,PotFiscHab,ProduitnetFB,ProduitnetTH,BasesnettesFB,BasesnettesTH,NombredelogementsTHdelacommune,Nombredelogementssociauxdelacommune,DGFHab
1136,"115,1501932","1,02674","375,6025799",506 992,29023,CARANTEC,4392,3256,"36,3",902,"1012,478142","1093,101776",1222962,1496500,6739444,10289051,2664,46,"155,7100737"
1109,"92,46453034","1,278645","234,6401617",1 898 609,29195,PLOUGUERNEAU,7819,6678,"25,5",4333,"572,939634","680,21921",1566927,1883728,6393945,8766767,4073,110,"284,3080264"
1088,"101,3273935","1,166805","407,4699847",813 700,56107,LARMOR-PLAGE,9567,8479,"36,9",727,"1031,644612","1096,476638",3454938,2780228,13545204,18716152,5401,254,"95,96650548"
1064,"91,83401071","1,287424","142,5284281",540 094,56114,LOCMARIA,1961,897,"31,6",2055,"490,921979","611,245793",127848,230489,1314692,2326551,1242,40,"602,1114827"
1037,"89,55124091","1,320242","269,9973039",1 229 508,29197,PLOUHINEC,5117,4080,"38,2",2805,"597,320891","707,335939",1101589,1524749,5112215,8137829,2988,103,"301,35"
1011,"112,017173","1,055457","222,15",867 768,29037,COMBRIT,5191,4180,"26,1",2413,"703,244269","792,149875",928587,1401099,5497756,8301262,2889,87,"207,6"
1009,"81,83958393","1,444647","301,3203184",918 275,22166,PENVENAN,3647,2638,"40,5",1984,"557,559638","684,894982",794883,880470,3086790,4354886,2149,78,"348,0951478"
1007,"123,6893274","0,955857","366,3124183",248 719,29085,ILE-TUDY,1772,765,"37,5",126,"672,337472","771,047404",280229,401602,1951622,3180724,1104,12,"325,1228758"
999,"92,58980386","1,276915","246,5043519",897 325,29190,PLOUGONVELIN,5250,4251,"22,2",1869,"548,021143","635,778667",1047890,1473283,4508154,6890180,2588,69,"211,0856269"
978,"85,27158571","1,386503","199,7351874",1 356 545,22198,PLEUMEUR-BODOU,5113,4135,"31,8",2671,"510,068062","644,788187",825905,1194228,3863864,5686294,2855,140,"328,0640871"
960,"111,4056047","1,061251","272,0788675",469 580,29021,PLOUNÉOUR-BRIGNOGAN-PLAGES,2938,1978,"34,1",1428,"638,386658","748,68516",538172,703536,2876154,4141996,1791,40,"237,4014156"
953,"76,48461721","1,545792","437,7968157",14 407 667,56121,LORIENT,59902,58789,"20,8",1748,"888,768322","1057,680695",25737637,18378235,77900426,88191493,32992,8865,"245,0741976"
950,"115,0742049","1,027418","269,5354159",525 368,29072,GUILVINEC,3703,2753,37,246,"794,231164","871,610856",742031,840186,4500251,5806855,2422,104,"190,8347258"
